Worker ID,Skill Category,Skill Level,Years of Experience,Current Task Assigned,Shift Availability,Performance Rating,Certifications
1,Quality Inspection,Medium,2,Module Assembly,Flexible,3.9,Mechanical Technician
2,Robotics,Low,8,Module Assembly,Night,3,Electrical Engineer
3,Mechanical Assembly,High,4,Module Assembly,Evening,4,None
4,Packaging,Medium,2,Final Testing,Evening,4.5,None
5,Mechanical Assembly,Low,4,Module Assembly,Morning,4.9,Certified BMS Engineer
6,Quality Inspection,High,4,Final Testing,Morning,3.3,Quality Control Certified
7,Mechanical Assembly,Medium,7,Pack Assembly,Morning,4.2,Certified BMS Engineer
8,Robotics,Medium,3,Pack Assembly,Morning,4.3,Electrical Engineer
9,Mechanical Assembly,Medium,7,Pack Assembly,Morning,3.5,Certified BMS Engineer
10,Automation,Low,5,Final Testing,Night,4.5,Quality Control Certified
11,Quality Inspection,Low,7,Pack Assembly,Evening,4.9,Certified Welder
12,BMS Integration,High,7,Cell Assembly,Night,3.2,Quality Control Certified
13,BMS Integration,Medium,8,Cell Assembly,Evening,3.1,None
14,Welding,Medium,6,Module Assembly,Evening,3.4,Certified Welder
15,Robotics,Medium,8,Module Assembly,Evening,4.8,Electrical Engineer
16,Mechanical Assembly,Medium,4,Final Testing,Evening,4,Certified Welder
17,Mechanical Assembly,High,5,Cell Assembly,Night,5,None
18,Packaging,High,2,Pack Assembly,Morning,4.2,Certified Welder
19,Mechanical Assembly,Low,8,Pack Assembly,Evening,4,Certified Welder
20,Quality Inspection,Medium,8,Pack Assembly,Night,4.7,Electrical Engineer
21,Mechanical Assembly,Low,3,Pack Assembly,Morning,4.3,Mechanical Technician
22,Automation,Medium,2,Module Assembly,Night,4.5,Certified BMS Engineer
23,BMS Integration,High,2,Pack Assembly,Night,3,None
24,Mechanical Assembly,Low,2,Final Testing,Evening,4.9,None
25,Mechanical Assembly,Low,5,Pack Assembly,Night,4.8,Quality Control Certified
26,Welding,Medium,8,Pack Assembly,Evening,3.2,Certified Welder
27,Automation,Medium,5,Cell Assembly,Night,4.3,Certified BMS Engineer
28,Packaging,Medium,6,Final Testing,Flexible,3.4,Mechanical Technician
29,Mechanical Assembly,Low,2,Final Testing,Evening,3.3,Certified Welder
30,Soldering,Low,1,Pack Assembly,Evening,3.8,Quality Control Certified
31,Soldering,Medium,5,Module Assembly,Morning,3.3,Quality Control Certified
32,Quality Inspection,Medium,2,Cell Assembly,Evening,3.5,Mechanical Technician
33,Packaging,High,1,Module Assembly,Night,3.9,Quality Control Certified
34,Electrical Wiring,Low,8,Module Assembly,Flexible,4.8,Electrical Engineer
35,Electrical Wiring,Medium,4,Pack Assembly,Morning,3.1,Quality Control Certified
36,Soldering,Low,4,Final Testing,Morning,4.6,Mechanical Technician
37,Packaging,High,7,Cell Assembly,Evening,3.8,Quality Control Certified
38,Electrical Wiring,Medium,1,Module Assembly,Night,4,Electrical Engineer
39,Welding,Medium,8,Cell Assembly,Night,4.8,None
40,Packaging,High,4,Module Assembly,Evening,3.3,Mechanical Technician
41,Quality Inspection,High,7,Final Testing,Flexible,4.1,Mechanical Technician
42,Packaging,Medium,3,Final Testing,Night,3.2,Certified BMS Engineer
43,Welding,Low,2,Final Testing,Morning,4.8,Certified BMS Engineer
44,Electrical Wiring,High,5,Module Assembly,Morning,4.4,Quality Control Certified
45,Quality Inspection,Medium,2,Pack Assembly,Night,3.9,Certified Welder
46,Packaging,High,8,Module Assembly,Evening,4.5,None
47,Electrical Wiring,Medium,2,Pack Assembly,Morning,4.3,Quality Control Certified
48,Automation,Low,5,Final Testing,Flexible,4.5,Certified Welder
49,BMS Integration,Low,5,Pack Assembly,Evening,4.5,Electrical Engineer
50,Quality Inspection,Medium,4,Cell Assembly,Evening,4.3,None
51,Packaging,High,2,Module Assembly,Night,4.6,Certified Welder
52,Mechanical Assembly,High,8,Final Testing,Evening,3.2,Certified BMS Engineer
53,Welding,Medium,5,Cell Assembly,Morning,4.4,None
54,Quality Inspection,Low,3,Final Testing,Evening,3.4,Certified BMS Engineer
55,Welding,Medium,7,Cell Assembly,Evening,4.2,Electrical Engineer
56,BMS Integration,High,2,Final Testing,Evening,3.6,None
57,BMS Integration,High,4,Final Testing,Flexible,3.6,Electrical Engineer
58,Mechanical Assembly,High,4,Cell Assembly,Evening,3.3,None
59,Mechanical Assembly,Medium,2,Pack Assembly,Night,3.6,Certified Welder
60,Mechanical Assembly,High,1,Pack Assembly,Night,4.3,Certified Welder
61,Automation,Medium,2,Module Assembly,Night,4.7,Certified Welder
62,Automation,Medium,6,Cell Assembly,Evening,3.8,Mechanical Technician
63,Robotics,Medium,7,Module Assembly,Night,4.5,None
64,BMS Integration,Medium,5,Final Testing,Evening,3.3,Electrical Engineer
65,Electrical Wiring,High,7,Cell Assembly,Flexible,4.9,Certified Welder
66,Soldering,Medium,3,Cell Assembly,Morning,4.7,Quality Control Certified
67,Soldering,Low,6,Pack Assembly,Morning,4.8,Mechanical Technician
68,Quality Inspection,High,5,Module Assembly,Night,4.8,Quality Control Certified
69,Packaging,High,5,Final Testing,Flexible,4.5,None
70,Robotics,High,5,Final Testing,Morning,4.9,None
71,Packaging,Medium,8,Cell Assembly,Flexible,3.9,Certified BMS Engineer
72,Soldering,Medium,1,Module Assembly,Flexible,4.4,Certified BMS Engineer
73,Welding,Medium,3,Module Assembly,Morning,3.3,Mechanical Technician
74,Soldering,Medium,7,Final Testing,Evening,4.7,Certified BMS Engineer
75,BMS Integration,High,7,Pack Assembly,Night,4,Electrical Engineer
76,Packaging,High,1,Pack Assembly,Evening,4.4,Electrical Engineer
77,Electrical Wiring,Low,3,Pack Assembly,Flexible,4.8,Electrical Engineer
78,BMS Integration,High,6,Pack Assembly,Morning,4.8,Certified BMS Engineer
79,Electrical Wiring,Low,5,Module Assembly,Night,3.1,Quality Control Certified
80,Automation,High,1,Cell Assembly,Evening,3.3,Mechanical Technician
81,Mechanical Assembly,Low,3,Module Assembly,Flexible,4.3,Certified Welder
82,Packaging,Medium,3,Cell Assembly,Night,3.2,None
83,Automation,High,1,Final Testing,Evening,4.8,None
84,Mechanical Assembly,Low,2,Cell Assembly,Morning,3.2,Mechanical Technician
85,Automation,Medium,5,Pack Assembly,Evening,4.1,Electrical Engineer
86,BMS Integration,Medium,8,Module Assembly,Evening,3.6,Quality Control Certified
87,Welding,High,8,Pack Assembly,Night,3.8,Quality Control Certified
88,BMS Integration,Medium,5,Cell Assembly,Evening,4.2,Quality Control Certified
89,Automation,Low,6,Final Testing,Evening,4.2,Quality Control Certified
90,Electrical Wiring,High,2,Cell Assembly,Flexible,4,Certified Welder
91,BMS Integration,High,6,Final Testing,Evening,4.4,Certified Welder
92,Automation,High,3,Pack Assembly,Morning,4,Certified Welder
93,Robotics,Low,8,Cell Assembly,Morning,3.8,Electrical Engineer
94,Quality Inspection,Low,4,Final Testing,Night,4.9,Certified Welder
95,BMS Integration,Medium,7,Pack Assembly,Evening,3.8,Certified BMS Engineer
96,Automation,High,2,Cell Assembly,Night,3.8,Certified Welder
97,BMS Integration,High,1,Cell Assembly,Flexible,4.5,None
98,Welding,Medium,5,Cell Assembly,Morning,3.8,Certified BMS Engineer
99,Packaging,High,6,Final Testing,Evening,4.9,Certified BMS Engineer
100,BMS Integration,High,6,Module Assembly,Morning,3.6,Electrical Engineer
101,Robotics,Medium,5,Pack Assembly,Flexible,4.7,None
102,BMS Integration,Medium,6,Final Testing,Evening,4.9,None
103,Robotics,Low,6,Pack Assembly,Evening,4.9,Mechanical Technician
104,Robotics,High,5,Final Testing,Morning,3.3,Mechanical Technician
105,Quality Inspection,Medium,7,Cell Assembly,Morning,3,Electrical Engineer
106,BMS Integration,Low,7,Cell Assembly,Flexible,3.8,Quality Control Certified
107,Robotics,Medium,2,Final Testing,Night,4.7,Mechanical Technician
108,BMS Integration,Medium,2,Module Assembly,Morning,3.4,Certified Welder
109,Electrical Wiring,Medium,5,Final Testing,Flexible,3.9,Quality Control Certified
110,BMS Integration,High,2,Module Assembly,Night,3.8,Certified Welder
111,BMS Integration,High,2,Pack Assembly,Morning,4.2,Electrical Engineer
112,Automation,High,2,Final Testing,Flexible,4.1,None
113,Robotics,Low,4,Pack Assembly,Night,4.2,Electrical Engineer
114,Soldering,High,5,Final Testing,Flexible,4,Certified Welder
115,Quality Inspection,High,2,Cell Assembly,Morning,3.9,Mechanical Technician
116,Welding,High,4,Final Testing,Flexible,4.8,Certified BMS Engineer
117,Mechanical Assembly,High,5,Module Assembly,Morning,4.6,Certified BMS Engineer
118,BMS Integration,High,6,Cell Assembly,Morning,3.6,Quality Control Certified
119,Electrical Wiring,High,6,Module Assembly,Flexible,4.6,Electrical Engineer
120,Quality Inspection,Medium,4,Final Testing,Morning,3.3,None
121,Electrical Wiring,Medium,2,Final Testing,Evening,4.4,Certified BMS Engineer
122,BMS Integration,Medium,2,Module Assembly,Evening,4.8,None
123,Electrical Wiring,High,8,Cell Assembly,Evening,4,Electrical Engineer
124,Soldering,High,3,Final Testing,Night,3.2,Quality Control Certified
125,Soldering,Medium,7,Cell Assembly,Flexible,4.5,Electrical Engineer
126,Robotics,Medium,1,Cell Assembly,Night,3.4,None
127,Packaging,Low,7,Pack Assembly,Flexible,3.9,Quality Control Certified
128,BMS Integration,High,1,Module Assembly,Night,3.6,Certified BMS Engineer
129,BMS Integration,Low,6,Module Assembly,Evening,4.8,Certified Welder
130,Mechanical Assembly,Low,4,Pack Assembly,Flexible,4.1,None
131,Welding,Low,5,Cell Assembly,Morning,4.2,Electrical Engineer
132,BMS Integration,High,5,Final Testing,Morning,4.1,Quality Control Certified
133,Soldering,Medium,1,Module Assembly,Flexible,4.4,None
134,Mechanical Assembly,Low,1,Cell Assembly,Evening,3.6,Electrical Engineer
135,Automation,Medium,1,Pack Assembly,Evening,4.1,Mechanical Technician
136,Electrical Wiring,Medium,5,Module Assembly,Morning,3.5,Electrical Engineer
137,Robotics,Medium,5,Pack Assembly,Evening,4.3,Mechanical Technician
138,Mechanical Assembly,Medium,2,Pack Assembly,Evening,4.4,Certified Welder
139,Mechanical Assembly,Medium,8,Pack Assembly,Morning,3.2,Electrical Engineer
140,Welding,High,3,Pack Assembly,Night,4.7,None
141,BMS Integration,Medium,7,Final Testing,Flexible,4.8,Certified BMS Engineer
142,Soldering,Medium,5,Final Testing,Morning,4.1,None
143,Welding,Medium,7,Cell Assembly,Night,4.8,Electrical Engineer
144,Mechanical Assembly,Low,1,Module Assembly,Evening,3.6,Certified BMS Engineer
145,Soldering,Low,6,Pack Assembly,Evening,4.2,Certified BMS Engineer
146,Automation,High,4,Module Assembly,Flexible,4.8,Quality Control Certified
147,BMS Integration,High,2,Pack Assembly,Flexible,3.8,Mechanical Technician
148,BMS Integration,High,7,Final Testing,Evening,3.2,Mechanical Technician
149,Packaging,High,2,Cell Assembly,Morning,4,Mechanical Technician
150,Automation,High,2,Module Assembly,Night,4.7,Mechanical Technician
151,Quality Inspection,Medium,7,Cell Assembly,Morning,4.8,None
152,Welding,Low,3,Pack Assembly,Night,4,Quality Control Certified
153,Automation,High,5,Final Testing,Evening,4.4,Mechanical Technician
154,Packaging,Low,2,Cell Assembly,Flexible,4.8,Electrical Engineer
155,Electrical Wiring,Low,3,Cell Assembly,Night,4.2,Certified Welder
156,Electrical Wiring,Low,6,Cell Assembly,Morning,4.7,None
157,Mechanical Assembly,Medium,5,Cell Assembly,Evening,4.2,Quality Control Certified
158,Electrical Wiring,High,5,Pack Assembly,Morning,4,Mechanical Technician
159,Mechanical Assembly,High,8,Module Assembly,Night,3.7,Mechanical Technician
160,Mechanical Assembly,Medium,2,Module Assembly,Morning,3.2,None
161,Automation,High,1,Module Assembly,Morning,4.7,Certified BMS Engineer
162,Packaging,Medium,8,Module Assembly,Night,4.6,Certified Welder
163,Robotics,Medium,3,Cell Assembly,Flexible,3.6,Quality Control Certified
164,Robotics,High,1,Pack Assembly,Morning,3.5,Certified BMS Engineer
165,Robotics,Medium,7,Cell Assembly,Flexible,3.1,None
166,Automation,High,6,Module Assembly,Flexible,4.5,Mechanical Technician
167,Mechanical Assembly,High,8,Module Assembly,Evening,4.3,Electrical Engineer
168,Robotics,High,2,Module Assembly,Evening,4.9,Mechanical Technician
169,Electrical Wiring,Medium,1,Cell Assembly,Evening,4.3,Certified Welder
170,Quality Inspection,High,1,Cell Assembly,Morning,4.9,Mechanical Technician
171,Soldering,Low,1,Final Testing,Morning,3.5,Mechanical Technician
172,Robotics,High,4,Pack Assembly,Flexible,4.4,Certified BMS Engineer
173,Welding,Medium,8,Final Testing,Evening,3.9,Quality Control Certified
174,Electrical Wiring,Low,8,Pack Assembly,Night,4.8,Electrical Engineer
175,Welding,Medium,4,Module Assembly,Night,3.9,Quality Control Certified
176,Soldering,High,8,Cell Assembly,Morning,3.7,Mechanical Technician
177,Electrical Wiring,High,1,Module Assembly,Night,4.5,Certified BMS Engineer
178,Packaging,Medium,5,Pack Assembly,Evening,3.4,Certified Welder
179,Automation,Low,5,Module Assembly,Night,3.8,Electrical Engineer
180,Packaging,Medium,6,Module Assembly,Night,3.3,Electrical Engineer
181,Robotics,Low,1,Cell Assembly,Flexible,3.5,Mechanical Technician
182,BMS Integration,Medium,1,Module Assembly,Evening,4.2,Certified Welder
183,Mechanical Assembly,High,2,Final Testing,Evening,3.8,None
184,BMS Integration,High,2,Cell Assembly,Flexible,4.8,Certified BMS Engineer
185,Robotics,Low,7,Cell Assembly,Morning,3.1,Mechanical Technician
186,Electrical Wiring,High,3,Cell Assembly,Evening,4.8,None
187,Welding,Low,8,Pack Assembly,Flexible,4.4,Quality Control Certified
188,BMS Integration,High,2,Final Testing,Evening,4.2,None
189,Soldering,Low,8,Pack Assembly,Evening,4.5,Certified BMS Engineer
190,Quality Inspection,High,3,Cell Assembly,Morning,3.2,Certified BMS Engineer
191,Soldering,Low,8,Final Testing,Evening,3.6,Electrical Engineer
192,Robotics,High,2,Final Testing,Evening,3.5,Mechanical Technician
193,Automation,Medium,2,Module Assembly,Flexible,4.9,Mechanical Technician
194,BMS Integration,Medium,7,Pack Assembly,Flexible,4.7,Quality Control Certified
195,Packaging,High,4,Module Assembly,Night,3.3,None
196,BMS Integration,High,6,Final Testing,Morning,4.8,None
197,Robotics,Medium,4,Cell Assembly,Night,3.4,Mechanical Technician
198,Electrical Wiring,High,1,Final Testing,Night,3.4,Certified Welder
199,Mechanical Assembly,Low,5,Pack Assembly,Flexible,3.4,Certified Welder
200,Mechanical Assembly,High,3,Cell Assembly,Night,4.5,Electrical Engineer
201,Welding,Medium,2,Final Testing,Morning,3.4,Certified BMS Engineer
202,Quality Inspection,Medium,7,Pack Assembly,Evening,4.1,Certified BMS Engineer
203,Automation,Medium,1,Cell Assembly,Morning,3.8,Certified BMS Engineer
204,Soldering,Low,6,Module Assembly,Flexible,4.9,Electrical Engineer
205,Robotics,Low,7,Pack Assembly,Morning,4,None
206,Electrical Wiring,Medium,4,Cell Assembly,Evening,3.2,Mechanical Technician
207,Soldering,Medium,6,Cell Assembly,Evening,3.3,None
208,Quality Inspection,Low,2,Module Assembly,Morning,4.8,None
209,Welding,Medium,6,Module Assembly,Morning,3.7,None
210,Electrical Wiring,High,4,Cell Assembly,Evening,3.8,Mechanical Technician
211,Mechanical Assembly,High,8,Pack Assembly,Night,4.6,Certified BMS Engineer
212,Mechanical Assembly,High,3,Final Testing,Flexible,3.2,Certified BMS Engineer
213,Soldering,High,6,Module Assembly,Night,4.4,Certified BMS Engineer
214,Robotics,Medium,5,Module Assembly,Morning,4.7,Certified BMS Engineer
215,Automation,Low,2,Final Testing,Morning,4.4,Electrical Engineer
216,BMS Integration,High,1,Cell Assembly,Night,4.4,Electrical Engineer
217,Soldering,High,3,Pack Assembly,Flexible,4.6,Electrical Engineer
218,BMS Integration,Low,7,Pack Assembly,Night,3,Electrical Engineer
219,Packaging,High,3,Pack Assembly,Flexible,3.1,Mechanical Technician
220,Automation,Medium,8,Cell Assembly,Night,4.2,Electrical Engineer
221,Automation,Medium,1,Cell Assembly,Evening,4.6,Certified Welder
222,Welding,Low,5,Final Testing,Flexible,4.3,Certified BMS Engineer
223,Quality Inspection,High,5,Module Assembly,Evening,3.9,Electrical Engineer
224,BMS Integration,Medium,6,Module Assembly,Flexible,3.3,None
225,BMS Integration,Low,2,Module Assembly,Evening,3.6,Electrical Engineer
226,Electrical Wiring,High,5,Final Testing,Morning,4.7,Certified BMS Engineer
227,Robotics,High,4,Module Assembly,Night,3.4,Quality Control Certified
228,BMS Integration,Medium,3,Cell Assembly,Flexible,3.1,None
229,Quality Inspection,Medium,2,Module Assembly,Night,4.1,Mechanical Technician
230,BMS Integration,Low,8,Module Assembly,Evening,4.3,Quality Control Certified
231,Packaging,High,8,Module Assembly,Flexible,3.8,Certified Welder
