Worker ID,Skill Category,Skill Level,Years of Experience,Current Task Assigned,Shift Availability,Performance Rating,Certifications,Task Skills Required,Task Priority,Workload per Shift
1,Soldering,High,4,Cell Assembly,Flexible,3.6,None,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
2,Quality Inspection,High,5,Final Testing,Morning,3.5,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
3,BMS Integration,Low,1,Final Testing,Night,3,Certified Welder,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
4,Welding,Medium,4,Module Assembly,Night,4.8,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,10
5,Automation,Low,2,Module Assembly,Evening,5,None,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,12
6,Automation,Low,1,Final Testing,Night,3.2,None,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
7,Packaging,High,8,Pack Assembly,Night,4.2,None,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,10
8,Soldering,Medium,3,Cell Assembly,Morning,4.8,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
9,Packaging,High,2,Final Testing,Morning,4.7,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
10,Quality Inspection,High,8,Pack Assembly,Evening,3.8,Certified BMS Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,12
11,Soldering,High,2,Module Assembly,Flexible,3.7,Quality Control Certified,"['BMS Integration', 'Electrical Wiring', 'Mechanical Assembly']",Critical,14
12,Mechanical Assembly,Medium,6,Pack Assembly,Flexible,4,Electrical Engineer,"['Welding', 'Mechanical Assembly', 'Robotics']",Secondary,14
13,Robotics,High,6,Final Testing,Night,3.1,Electrical Engineer,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,10
14,Automation,Medium,6,Final Testing,Morning,3.5,Certified Welder,"['Quality Inspection', 'Electrical Wiring', 'Automation']",Critical,15
15,Mechanical Assembly,Medium,5,Cell Assembly,Morning,3.6,Quality Control Certified,"['Welding', 'Electrical Wiring', 'Mechanical Assembly']",Critical,15
